Test Error	Training Error	Valid Error	
 9.9158e-01	 9.9151e-01	 9.9364e-01	
 9.4914e-01	 9.7716e-01	 9.3635e-01	
 9.5150e-01	 9.7383e-01	 9.3935e-01	
 9.4914e-01	 9.7175e-01	 9.3635e-01	
 9.5150e-01	 9.6892e-01	 9.3935e-01	
 9.5150e-01	 9.6334e-01	 9.3935e-01	
 9.5150e-01	 9.5169e-01	 9.3935e-01	
 9.5150e-01	 9.4474e-01	 9.3935e-01	
 9.5150e-01	 9.4058e-01	 9.3935e-01	
 9.5857e-01	 9.3314e-01	 9.5919e-01	
 9.3634e-01	 9.3197e-01	 9.2362e-01	
 9.5857e-01	 9.3309e-01	 9.5919e-01	
 9.8484e-01	 9.3201e-01	 9.8428e-01	
 9.7777e-01	 9.3309e-01	 9.6443e-01	
 9.7777e-01	 9.3347e-01	 9.6443e-01	
 9.5857e-01	 9.3326e-01	 9.5919e-01	
 9.8484e-01	 9.3339e-01	 9.8428e-01	
 9.8484e-01	 9.3368e-01	 9.8428e-01	
 9.7373e-01	 9.3126e-01	 9.7492e-01	
 9.8484e-01	 9.3139e-01	 9.8428e-01	
 9.5150e-01	 9.3268e-01	 9.3935e-01	
 9.7777e-01	 9.3322e-01	 9.6443e-01	
 9.7373e-01	 9.3430e-01	 9.7492e-01	
 9.7777e-01	 9.3364e-01	 9.6443e-01	
 9.5857e-01	 9.3376e-01	 9.5919e-01	
 9.5857e-01	 9.3355e-01	 9.5919e-01	
 9.5857e-01	 9.3168e-01	 9.5919e-01	
 9.6261e-01	 9.3110e-01	 9.4871e-01	
 9.5150e-01	 9.3339e-01	 9.3935e-01	
 9.5857e-01	 9.3197e-01	 9.5919e-01	
 9.8484e-01	 9.3106e-01	 9.8428e-01	
 9.8484e-01	 9.3289e-01	 9.8428e-01	
 9.8484e-01	 9.3314e-01	 9.8428e-01	
 9.7777e-01	 9.3251e-01	 9.6443e-01	
 9.8484e-01	 9.3160e-01	 9.8428e-01	
 9.7777e-01	 9.3314e-01	 9.6443e-01	
 1.0000e+00	 9.3268e-01	 1.0000e+00	
 1.0000e+00	 9.3326e-01	 1.0000e+00	
 9.5857e-01	 9.3476e-01	 9.5919e-01	
 9.7777e-01	 9.3264e-01	 9.6443e-01	
 9.8484e-01	 9.3230e-01	 9.8428e-01	
 9.7811e-01	 9.3076e-01	 9.7716e-01	
 9.7373e-01	 9.3189e-01	 9.7492e-01	
 9.5857e-01	 9.3314e-01	 9.5919e-01	
 9.5857e-01	 9.3305e-01	 9.5919e-01	
 9.5150e-01	 9.3422e-01	 9.3935e-01	
 9.7811e-01	 9.3205e-01	 9.7716e-01	
 9.5150e-01	 9.3276e-01	 9.3935e-01	
 9.5857e-01	 9.3318e-01	 9.5919e-01	
 9.5857e-01	 9.3364e-01	 9.5919e-01	
 1.0000e+00	 9.3293e-01	 1.0000e+00	
 9.5857e-01	 9.3413e-01	 9.5919e-01	
 9.5150e-01	 9.3285e-01	 9.3935e-01	
 9.6261e-01	 9.3089e-01	 9.4871e-01	
