Test Error	Training Error	Valid Error	
 9.8720e-01	 9.8681e-01	 9.8839e-01	
 9.5487e-01	 9.5993e-01	 9.4309e-01	
 9.8855e-01	 9.4241e-01	 9.9064e-01	
 9.6329e-01	 9.2452e-01	 9.4983e-01	
 9.5588e-01	 9.1408e-01	 9.4496e-01	
 9.3533e-01	 9.0185e-01	 9.1951e-01	
 9.5487e-01	 8.8433e-01	 9.3823e-01	
 9.3567e-01	 8.7464e-01	 9.2325e-01	
 9.1714e-01	 8.5412e-01	 8.9854e-01	
 8.7639e-01	 8.3423e-01	 8.6634e-01	
 8.6460e-01	 8.1967e-01	 8.5174e-01	
 8.6864e-01	 8.1888e-01	 8.5661e-01	
 8.7201e-01	 8.2030e-01	 8.6110e-01	
 8.6730e-01	 8.1942e-01	 8.5623e-01	
 8.6864e-01	 8.1863e-01	 8.5661e-01	
 8.7369e-01	 8.1884e-01	 8.6410e-01	
 8.6864e-01	 8.1955e-01	 8.5661e-01	
 8.6864e-01	 8.2050e-01	 8.5661e-01	
 8.6460e-01	 8.1863e-01	 8.5174e-01	
 8.6460e-01	 8.2080e-01	 8.5174e-01	
 8.6797e-01	 8.1951e-01	 8.5623e-01	
 8.6864e-01	 8.1826e-01	 8.5661e-01	
 8.6864e-01	 8.1830e-01	 8.5661e-01	
 8.7201e-01	 8.2021e-01	 8.6110e-01	
 8.6460e-01	 8.1934e-01	 8.5174e-01	
 8.6864e-01	 8.1722e-01	 8.5661e-01	
 8.7033e-01	 8.1743e-01	 8.5960e-01	
 8.7201e-01	 8.2121e-01	 8.6110e-01	
 8.6864e-01	 8.1838e-01	 8.5661e-01	
 8.7033e-01	 8.1847e-01	 8.5960e-01	
 8.7201e-01	 8.2000e-01	 8.6110e-01	
 8.6359e-01	 8.1834e-01	 8.5286e-01	
 8.6864e-01	 8.1726e-01	 8.5661e-01	
 8.6898e-01	 8.1913e-01	 8.5773e-01	
 8.6460e-01	 8.2042e-01	 8.5174e-01	
 8.6864e-01	 8.1826e-01	 8.5661e-01	
 8.6864e-01	 8.1921e-01	 8.5661e-01	
 8.6864e-01	 8.1992e-01	 8.5661e-01	
 8.7201e-01	 8.1813e-01	 8.6110e-01	
 8.7066e-01	 8.1888e-01	 8.6073e-01	
 8.7201e-01	 8.1734e-01	 8.6110e-01	
 8.6864e-01	 8.1622e-01	 8.5661e-01	
 8.7201e-01	 8.1863e-01	 8.6110e-01	
