Test Error	Training Error	Valid Error	
 5.3370e-01	 5.7662e-01	 5.3220e-01	
 4.9950e-01	 4.0516e-01	 4.9620e-01	
 4.7850e-01	 3.5318e-01	 4.7080e-01	
 4.2700e-01	 3.3278e-01	 4.1180e-01	
 4.4790e-01	 3.2569e-01	 4.4220e-01	
 4.2260e-01	 3.1456e-01	 4.1880e-01	
 4.5850e-01	 3.0782e-01	 4.5420e-01	
 4.1290e-01	 3.0998e-01	 3.9340e-01	
 4.7550e-01	 3.0611e-01	 4.7260e-01	
 3.8840e-01	 3.0236e-01	 3.6860e-01	
 3.8710e-01	 2.9884e-01	 3.7420e-01	
 4.1010e-01	 3.0251e-01	 3.9880e-01	
 4.3980e-01	 2.9962e-01	 4.3060e-01	
 3.8790e-01	 2.9831e-01	 3.8020e-01	
 3.9040e-01	 2.9727e-01	 3.7820e-01	
 4.1400e-01	 2.9947e-01	 4.0340e-01	
 4.3170e-01	 2.9860e-01	 4.2380e-01	
 3.5160e-01	 2.9562e-01	 3.4880e-01	
 3.4850e-01	 2.9533e-01	 3.3300e-01	
 4.8590e-01	 2.9587e-01	 4.6860e-01	
 3.6380e-01	 2.9749e-01	 3.4860e-01	
 3.8930e-01	 2.9371e-01	 3.7560e-01	
 3.8090e-01	 2.9424e-01	 3.7080e-01	
 4.3590e-01	 2.9327e-01	 4.2400e-01	
 4.0480e-01	 2.9640e-01	 3.9580e-01	
 3.9610e-01	 2.9524e-01	 3.8440e-01	
 3.6040e-01	 2.9240e-01	 3.4760e-01	
 3.6640e-01	 2.9284e-01	 3.6100e-01	
 3.5790e-01	 2.9127e-01	 3.5560e-01	
 4.0060e-01	 2.9380e-01	 3.8220e-01	
 3.6350e-01	 2.9138e-01	 3.4880e-01	
 3.9750e-01	 2.9451e-01	 3.7840e-01	
 3.7080e-01	 2.9056e-01	 3.4760e-01	
 3.6500e-01	 2.9204e-01	 3.5480e-01	
 3.5320e-01	 2.9260e-01	 3.3640e-01	
 4.0840e-01	 2.9218e-01	 3.9440e-01	
 4.1900e-01	 2.9267e-01	 4.0940e-01	
 3.8170e-01	 2.9178e-01	 3.7680e-01	
 3.3910e-01	 2.8804e-01	 3.2180e-01	
 3.4300e-01	 2.9211e-01	 3.2200e-01	
 3.8940e-01	 2.9129e-01	 3.6680e-01	
 3.8260e-01	 2.9153e-01	 3.6740e-01	
 4.3310e-01	 2.9000e-01	 4.1780e-01	
 3.5450e-01	 2.9144e-01	 3.3160e-01	
 4.0320e-01	 2.8904e-01	 3.8320e-01	
 4.1880e-01	 2.9213e-01	 4.0120e-01	
 3.5100e-01	 2.8922e-01	 3.4240e-01	
 3.8680e-01	 2.8762e-01	 3.6120e-01	
 3.9620e-01	 2.8996e-01	 3.8300e-01	
 4.1150e-01	 2.9151e-01	 4.0480e-01	
 3.3270e-01	 2.5022e-01	 3.1840e-01	
 3.8200e-01	 2.3464e-01	 3.5720e-01	
 3.6940e-01	 2.3322e-01	 3.5340e-01	
 3.3480e-01	 2.3500e-01	 3.1920e-01	
 3.8890e-01	 2.3189e-01	 3.6960e-01	
 3.7060e-01	 2.3500e-01	 3.5660e-01	
 3.8800e-01	 2.2862e-01	 3.7240e-01	
 3.6110e-01	 2.3302e-01	 3.3700e-01	
 3.7800e-01	 2.3024e-01	 3.5160e-01	
 3.7890e-01	 2.3002e-01	 3.5880e-01	
 3.6790e-01	 2.3136e-01	 3.5280e-01	
 3.7030e-01	 2.2618e-01	 3.4960e-01	
 3.3820e-01	 2.3149e-01	 3.2160e-01	
 3.5530e-01	 2.2920e-01	 3.3980e-01	
 3.7530e-01	 2.3440e-01	 3.5780e-01	
 3.2220e-01	 2.2907e-01	 3.0220e-01	
 3.4840e-01	 2.3156e-01	 3.3280e-01	
 3.6720e-01	 2.2958e-01	 3.3600e-01	
 3.5360e-01	 2.3147e-01	 3.3260e-01	
 3.6270e-01	 2.2869e-01	 3.5140e-01	
 4.0500e-01	 2.2940e-01	 3.9000e-01	
 3.3820e-01	 2.2953e-01	 3.2800e-01	
 3.3630e-01	 2.3149e-01	 3.0920e-01	
 3.6350e-01	 2.3242e-01	 3.5680e-01	
 4.4810e-01	 2.2889e-01	 4.2220e-01	
 3.7560e-01	 2.2973e-01	 3.5440e-01	
 3.9030e-01	 2.2927e-01	 3.7460e-01	
 3.6670e-01	 2.2922e-01	 3.5660e-01	
 3.9770e-01	 2.2944e-01	 3.8960e-01	
 3.8290e-01	 2.3091e-01	 3.7180e-01	
 3.9180e-01	 2.2789e-01	 3.7680e-01	
 3.6410e-01	 2.2758e-01	 3.4780e-01	
 3.4800e-01	 2.2971e-01	 3.3280e-01	
 3.7070e-01	 2.2831e-01	 3.5160e-01	
 4.1170e-01	 2.2844e-01	 4.0160e-01	
 3.3830e-01	 2.2960e-01	 3.2700e-01	
 3.7300e-01	 2.2793e-01	 3.5380e-01	
 3.6590e-01	 2.2573e-01	 3.5340e-01	
 3.4440e-01	 2.2787e-01	 3.3360e-01	
 3.8740e-01	 2.2684e-01	 3.7220e-01	
 3.5380e-01	 2.2769e-01	 3.3400e-01	
 2.9510e-01	 2.2636e-01	 2.8020e-01	
 3.9430e-01	 2.2671e-01	 3.7000e-01	
 3.2660e-01	 2.2927e-01	 3.0400e-01	
 3.7780e-01	 2.2689e-01	 3.6180e-01	
 3.9810e-01	 2.2984e-01	 3.7940e-01	
 3.6150e-01	 2.2731e-01	 3.3460e-01	
 3.5650e-01	 2.2711e-01	 3.4600e-01	
 3.8820e-01	 2.2749e-01	 3.8280e-01	
 3.5810e-01	 2.2907e-01	 3.4500e-01	
 3.3610e-01	 1.8298e-01	 3.2020e-01	
 3.6500e-01	 1.6127e-01	 3.5980e-01	
 3.5640e-01	 1.5476e-01	 3.3400e-01	
 3.5020e-01	 1.5611e-01	 3.3700e-01	
 3.5140e-01	 1.5669e-01	 3.3300e-01	
 3.4960e-01	 1.5478e-01	 3.3280e-01	
 3.7280e-01	 1.5418e-01	 3.5940e-01	
 3.2850e-01	 1.5338e-01	 3.1160e-01	
