Test Error	Training Error	Valid Error	
 7.4782e-01	 7.3768e-01	 7.1446e-01	
 6.2336e-01	 5.9160e-01	 6.0996e-01	
 6.1681e-01	 5.3031e-01	 6.1118e-01	
 5.4039e-01	 5.0479e-01	 4.8724e-01	
 5.3166e-01	 4.8576e-01	 4.8481e-01	
 5.9716e-01	 4.7415e-01	 5.6015e-01	
 4.4432e-01	 4.2203e-01	 4.0583e-01	
 4.2686e-01	 3.7370e-01	 3.8396e-01	
 4.4432e-01	 3.0944e-01	 4.3013e-01	
 2.6092e-01	 2.5530e-01	 2.4423e-01	
 3.7555e-01	 2.0751e-01	 3.5723e-01	
 4.1266e-01	 2.0886e-01	 3.9247e-01	
 3.9738e-01	 2.1439e-01	 3.6452e-01	
 4.0175e-01	 2.1372e-01	 3.8639e-01	
 3.9301e-01	 2.0872e-01	 3.7181e-01	
 3.9520e-01	 2.0818e-01	 3.6817e-01	
 3.8974e-01	 2.0994e-01	 3.7303e-01	
 3.9738e-01	 2.0886e-01	 3.7181e-01	
 3.4934e-01	 2.1480e-01	 3.4022e-01	
 3.5917e-01	 2.1115e-01	 3.5723e-01	
 3.9192e-01	 2.1304e-01	 3.7060e-01	
 3.8537e-01	 2.1088e-01	 3.5723e-01	
 4.0175e-01	 2.0994e-01	 3.8032e-01	
 3.5917e-01	 2.1250e-01	 3.3657e-01	
 3.8755e-01	 2.1345e-01	 3.6574e-01	
 4.0175e-01	 2.1399e-01	 3.8275e-01	
 3.9956e-01	 2.1345e-01	 3.7303e-01	
 3.4716e-01	 2.1237e-01	 3.4994e-01	
 4.0066e-01	 2.0710e-01	 3.7424e-01	
 3.8537e-01	 2.1142e-01	 3.6087e-01	
 3.9738e-01	 2.0926e-01	 3.7667e-01	
 3.9629e-01	 2.1196e-01	 3.7303e-01	
 3.8755e-01	 2.1183e-01	 3.7546e-01	
 3.8428e-01	 2.1345e-01	 3.6574e-01	
 3.9956e-01	 2.0953e-01	 3.7303e-01	
 3.7773e-01	 2.0791e-01	 3.6574e-01	
 3.8755e-01	 2.1480e-01	 3.6817e-01	
 3.9956e-01	 2.1021e-01	 3.8032e-01	
 3.9738e-01	 2.1061e-01	 3.7789e-01	
 3.9956e-01	 2.0926e-01	 3.7303e-01	
 3.7009e-01	 2.1264e-01	 3.5358e-01	
 3.8755e-01	 2.1331e-01	 3.6817e-01	
 3.9956e-01	 2.1372e-01	 3.7303e-01	
 4.0284e-01	 2.0913e-01	 3.7181e-01	
 3.8865e-01	 2.1210e-01	 3.6938e-01	
 3.9738e-01	 2.0940e-01	 3.7789e-01	
 3.9520e-01	 2.1277e-01	 3.7060e-01	
